CIDR,SRC_IP_COUNT,SESSION_COUNT,RULE_COUNT,REVIEW_RULES,ALLOW_RULES,TOP_APPS,TOP_DEST_PORTS,TOP_DEST_PROVIDERS,RECOMMENDATION
10.111.246.0/24,1,22,9,0,0,quic-base|unknown-udp,443|50049|50086|50069|50044,"Amazon.com, Inc",Register in all_IP_networks
10.24.141.0/24,4,21,12,0,0,quic-base|ms-teams-audio-video,443|50034|50036|50010|50048,"Microsoft|Amazon.com, Inc|Akamai",Register in all_IP_networks
10.38.82.0/24,3,20,13,0,0,google-base|quic-base,5228|443,Google,Register in all_IP_networks
10.35.53.0/24,3,18,11,0,0,google-base|quic-base,5228|443,Google|Akamai,Register in all_IP_networks
10.84.135.0/24,1,17,3,0,0,quic-base,443,Google|Cloudflare,Register in all_IP_networks
10.97.243.0/24,2,17,8,0,0,quic-base|unknown-udp,443,"Akamai|Microsoft|Amazon.com, Inc",Register in all_IP_networks
10.89.84.0/24,2,16,11,0,0,quic-base,443,Google|Akamai|Fastly,Register in all_IP_networks
10.49.152.0/24,3,12,6,0,0,unknown-tcp|ms-teams-audio-video|google-base,3018|5228|50045|50013|50020,"Amazon.com, Inc|Google",Register in all_IP_networks
10.81.134.0/24,5,12,9,0,0,quic-base|google-base,443|5228,Google|Microsoft Azure|Akamai,Register in all_IP_networks
10.75.117.0/24,4,12,10,4,0,ms-teams-audio-video|google-base|stun,5228|50032|28530|50058|50016,"Google|Amazon.com, Inc|⚠ RFC VIOLATION — RFC6598",URGENT — REVIEW traffic
10.35.64.0/24,1,10,2,0,1,quic-base|stun,443|19302,Google,Register in all_IP_networks
10.113.13.0/24,1,10,6,0,0,quic-base,443,Fastly|Akamai|Google,Register in all_IP_networks
10.39.8.0/24,5,9,8,0,0,quic-base|google-base|unknown-udp,443|5228|1700,Google|Akamai|Amazon Web Services,Register in all_IP_networks
10.38.216.0/24,3,8,5,0,0,quic-base|unknown-udp,443|1700,Amazon Web Services|Akamai|Cloudflare,Register in all_IP_networks
10.97.246.0/24,1,8,5,0,0,quic-base,443,Google,Register in all_IP_networks
10.49.0.0/24,1,7,1,0,0,quic-base,443,Google,Register in all_IP_networks
10.97.244.0/24,3,7,4,0,0,quic-base|dtls,443,"Google|Cloudflare|Amazon.com, Inc",Register in all_IP_networks
10.35.57.0/24,1,7,5,0,0,quic-base|google-base,443|5228,Google|Akamai,Register in all_IP_networks
10.81.131.0/24,2,5,3,0,0,quic-base,443,Akamai|Amazon Web Services|Google,Register in all_IP_networks
10.97.245.0/24,2,5,3,0,0,google-base|quic-base,5228|443,Google,Register in all_IP_networks
10.38.100.0/24,2,5,5,0,0,quic-base|google-base,443|5228,Google|Akamai,Register in all_IP_networks
10.89.205.0/24,1,4,1,0,0,azure-iot,8883,Microsoft Azure,Register in all_IP_networks
10.89.203.0/24,1,4,2,0,0,quic-base,443,Google,Register in all_IP_networks
10.81.130.0/24,2,4,2,0,0,quic-base,443,Google|Cloudflare,Register in all_IP_networks
